dname,num_schools_in_district_sat,enroll12_mean_sat,pctmathbenchmark12_mean_sat,num_schools_in_district_act,enroll12_mean_act,avgscrmath_mean_act
San Mateo Union High,8,576.125,0.7513,8.0,576.125,25.875
San Rafael City High,3,410.0,0.6007333333333333,3.0,410.0,23.0
San Ramon Valley Unified,5,1033.0,0.84742,5.0,1033.0,27.0
Sanger Unified,2,792.0,0.37555,2.0,792.0,20.0
Santa Ana Unified,12,687.3333333333334,0.25466666666666665,10.0,768.9,19.3
Santa Barbara Unified,4,802.25,0.6985,4.0,802.25,24.0
Santa Clara County Office of Education,4,292.75,0.5163,4.0,292.75,21.5
Santa Clara Unified,3,674.6666666666666,0.6988,3.0,674.6666666666666,24.666666666666668
Santa Cruz City High,4,394.5,0.673125,4.0,394.5,23.0
Santa Cruz County Office of Education,2,342.0,0.8358,2.0,342.0,27.0
Santa Maria Joint Union High,4,915.0,0.495175,4.0,915.0,20.5
Santa Monica-Malibu Unified,3,590.3333333333334,0.7229666666666666,3.0,590.3333333333334,24.666666666666668
Santa Paula Unified,2,400.5,0.47369999999999995,2.0,400.5,19.0
Santa Rosa High,6,615.8333333333334,0.5478833333333334,5.0,694.0,24.2
Santa Ynez Valley Union High,2,225.5,0.7101000000000001,2.0,225.5,22.0
Scott Valley Unified,2,44.0,0.4375,2.0,44.0,21.0
Scotts Valley Unified,2,193.0,0.8111,2.0,193.0,25.0
Sequoia Union High,8,608.875,0.5249375000000001,7.0,686.5714285714286,23.142857142857142
Shasta Union High,5,476.4,0.7445999999999999,4.0,520.0,25.0
Sierra Sands Unified,2,342.0,0.7326,2.0,342.0,27.0
Simi Valley Unified,4,665.25,0.6966,4.0,665.25,24.0
Siskiyou Union High,2,113.0,0.539,1.0,150.0,19.0
Snowline Joint Unified,2,502.0,0.48905,2.0,502.0,23.0
Soledad Unified,2,388.5,0.1844,2.0,388.5,17.0
Sonoma Valley Unified,2,286.0,0.5824,2.0,286.0,23.0
South Monterey County Joint Union High,3,348.6666666666667,0.17846666666666666,3.0,348.6666666666667,17.0
South Pasadena Unified,2,369.5,0.884,2.0,369.5,27.0
South San Francisco Unified,3,429.6666666666667,0.6583,3.0,429.6666666666667,24.333333333333332
State of California,1,489650.0,0.47859999999999997,1.0,489650.0,22.0
Stockton Unified,11,462.09090909090907,0.339,8.0,609.375,18.75
Sutter Union High,2,180.0,0.6531,2.0,180.0,24.0
Sweetwater Union High,13,1165.7692307692307,0.48746153846153845,13.0,1165.7692307692307,20.23076923076923
Taft Union High,2,221.0,0.3261,2.0,221.0,19.0
Tahoe-Truckee Unified,3,193.0,0.6806666666666666,3.0,193.0,25.0
Tamalpais Union High,4,591.0,0.83215,4.0,591.0,26.0
Temecula Valley Unified,5,930.2,0.57746,5.0,930.2,22.0
Temple City Unified,2,505.0,0.8298000000000001,2.0,505.0,27.0
Templeton Unified,2,187.0,0.6225,2.0,187.0,22.0
Torrance Unified,5,823.4,0.72334,5.0,823.4,24.6
Tracy Joint Unified,5,585.6,0.5434599999999999,4.0,700.0,21.5
Travis Unified,2,393.0,0.55385,2.0,393.0,23.0
Tulare Joint Union High,4,612.75,0.401225,4.0,612.75,20.0
Turlock Unified,3,764.6666666666666,0.47903333333333337,3.0,764.6666666666666,22.0
Tustin Unified,4,967.75,0.652175,4.0,967.75,24.5
Twin Rivers Unified,10,379.4,0.15501,3.0,982.0,19.0
Ukiah Unified,2,445.0,0.6506500000000001,2.0,445.0,23.0
Upland Unified,2,815.5,0.4932,2.0,815.5,21.0
Vacaville Unified,4,464.0,0.57655,3.0,578.3333333333334,23.0
Val Verde Unified,4,758.5,0.19115,2.0,1073.0,19.0
Vallejo City Unified,4,464.0,0.250425,3.0,498.3333333333333,18.0
Valley Center-Pauma Unified,2,290.5,0.3945,2.0,290.5,21.0
Ventura Unified,5,499.6,0.62886,4.0,603.75,22.0
Victor Valley Union High,7,528.5714285714286,0.25958571428571425,6.0,596.5,19.0
Visalia Unified,6,670.1666666666666,0.4484666666666666,5.0,790.2,21.0
Vista Unified,5,777.2,0.6196400000000001,5.0,777.2,23.8
Walnut Valley Unified,3,946.3333333333334,0.8086000000000001,3.0,946.3333333333334,28.333333333333332
Wasco Union High,2,422.0,0.2616,2.0,422.0,20.0
Washington Unified,4,404.5,0.2505,4.0,404.5,18.0
West Contra Costa Unified,12,413.4166666666667,0.24185,10.0,452.2,18.8
West Covina Unified,4,557.25,0.4676,2.0,854.0,23.5
West Sonoma County Union High,3,281.0,0.6906666666666667,3.0,281.0,23.666666666666668
Western Placer Unified,2,579.5,0.53575,2.0,579.5,21.5
Wheatland Union High,2,166.5,0.5192,2.0,166.5,21.0
Whittier Union High,6,932.5,0.45330000000000004,6.0,932.5,20.333333333333332
William S. Hart Union High,10,805.0,0.60836,8.0,978.25,23.875
Windsor Unified,2,430.0,0.5643,2.0,430.0,21.0
Wiseburn Unified,4,211.25,0.30867500000000003,4.0,211.25,19.0
Woodlake Unified,2,159.5,0.2727,2.0,159.5,19.0
Woodland Joint Unified,3,486.6666666666667,0.43306666666666666,3.0,486.6666666666667,19.0
Yosemite Unified,2,168.5,0.47685,2.0,168.5,22.0
Yreka Union High,2,144.0,0.5854,2.0,144.0,21.0
Yuba City Unified,3,600.3333333333334,0.5601666666666667,3.0,600.3333333333334,22.0
Yucaipa-Calimesa Joint Unified,2,683.5,0.5947,2.0,683.5,22.0
